Region,WBID,Waterbody,WaterbodyNameInBasinPlan,StationCode,StationName,AnalyteName,Alias,CAS_Number,Objective,UnitName,BeneficialUse,Objective_Language,Objective_Ref_Number,Evaluation_Guideline,Eval_Ref_Number,AveragingPeriod,Statistic,FreshMarine,Notes,Valid
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304BH9,Boulder Creek at Highway 9,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304BH9,Boulder Creek at Highway 9,Chloride,,,10,mg/L,CO,"The site specific objective for Chloride for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304BH9,Boulder Creek at Highway 9,Sodium,,,20,mg/L,CO,"The site specific objective for Sodium for Boulder Creek is an annual mean of 20 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304BH9,Boulder Creek at Highway 9,Sulfate,,,10,mg/L,CO,"The site specific objective for Sulfate for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304BH9,Boulder Creek at Highway 9,Total Dissolved Solids,,,150,mg/L,CO,"The site specific objective for Total Dissolved Solids for Boulder Creek is an annual mean of 150 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD1,Foxglove Ln at Boulder Creek,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD1,Foxglove Ln at Boulder Creek,Chloride,,,10,mg/L,CO,"The site specific objective for Chloride for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD1,Foxglove Ln at Boulder Creek,Sodium,,,20,mg/L,CO,"The site specific objective for Sodium for Boulder Creek is an annual mean of 20 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD1,Foxglove Ln at Boulder Creek,Sulfate,,,10,mg/L,CO,"The site specific objective for Sulfate for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD1,Foxglove Ln at Boulder Creek,Total Dissolved Solids,,,150,mg/L,CO,"The site specific objective for Total Dissolved Solids for Boulder Creek is an annual mean of 150 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD10,State HWY 236 at Chipmunk Hollow Rd,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD10,State HWY 236 at Chipmunk Hollow Rd,Chloride,,,10,mg/L,CO,"The site specific objective for Chloride for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD10,State HWY 236 at Chipmunk Hollow Rd,Sodium,,,20,mg/L,CO,"The site specific objective for Sodium for Boulder Creek is an annual mean of 20 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD10,State HWY 236 at Chipmunk Hollow Rd,Sulfate,,,10,mg/L,CO,"The site specific objective for Sulfate for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD10,State HWY 236 at Chipmunk Hollow Rd,Total Dissolved Solids,,,150,mg/L,CO,"The site specific objective for Total Dissolved Solids for Boulder Creek is an annual mean of 150 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD3,Melissa Ln at Boulder Creek,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD3,Melissa Ln at Boulder Creek,Chloride,,,10,mg/L,CO,"The site specific objective for Chloride for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD3,Melissa Ln at Boulder Creek,Sodium,,,20,mg/L,CO,"The site specific objective for Sodium for Boulder Creek is an annual mean of 20 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD3,Melissa Ln at Boulder Creek,Sulfate,,,10,mg/L,CO,"The site specific objective for Sulfate for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD3,Melissa Ln at Boulder Creek,Total Dissolved Solids,,,150,mg/L,CO,"The site specific objective for Total Dissolved Solids for Boulder Creek is an annual mean of 150 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD4,Hilton Dr at Double Bogey Dr,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD4,Hilton Dr at Double Bogey Dr,Chloride,,,10,mg/L,CO,"The site specific objective for Chloride for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD4,Hilton Dr at Double Bogey Dr,Sodium,,,20,mg/L,CO,"The site specific objective for Sodium for Boulder Creek is an annual mean of 20 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD4,Hilton Dr at Double Bogey Dr,Sulfate,,,10,mg/L,CO,"The site specific objective for Sulfate for Boulder Creek is an annual mean of 10 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD4,Hilton Dr at Double Bogey Dr,Total Dissolved Solids,,,150,mg/L,CO,"The site specific objective for Total Dissolved Solids for Boulder Creek is an annual mean of 150 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
3,CAR3041202019990223102514,Boulder Creek,Boulder Creek,304RRBLD7,State HWY 236 at Big Basin Hwy,Boron,,,0.2,mg/L,AG,"The site specific objective for Boron for Boulder Creek is an annual mean of 0.2 mg/L (Table 3-5, Water Quality Control Plan, Central Coastal Basin).",7402,,,365,Mean,F,,Y
