data,stations,ssos,qapps,sample_types,pollutants_xwalk,add,loes,order,type,all
AnalyteName,,AnalyteName,,,AnalyteName,,,,character,AnalyteName
DataQuality,,,,,,,,,character,DataQuality
FractionName,,,,,,,FRACTION,9,character,FractionName
ListingYear,,,,,,,,,character,ListingYear
MDL,,,,,,,,,numeric,MDL
MatrixName,,,,,,,,,character,MatrixName
ParentProjectName,,,ParentProjectName,,,,,,character,ParentProjectName
RL,,,,,,,,,numeric,RL
ResQualCode,,,,,,,,,character,ResQualCode
Result,,,,,,,,,numeric,Result
SampleDate,,,,,,,,,date,SampleDate
SampleTypeName,,,,SampleTypeName,,,,,character,SampleTypeName
StationCode,StationCode,StationCode,,,,,STATION_CODE,1,character,StationCode
UnitName,,,,,,,,,character,UnitName
WQID,,,,,,,,,character,WQID
,StationName,,,,,,,,character,StationName
,StationSource,,,,,,STATION_SOURCE,38,character,StationSource
,WBID,,,,,,WBID,5,character,WBID
,Waterbody,,,,,,WB_SEGMENT,4,character,Waterbody
,,Alias,,,,,SPECIAL_CASE,37,character,Alias
,,AveragingPeriod,,,,,AVERAGING_PERIOD,35,numeric,AveragingPeriod
,,BeneficialUse,,,,,BU_CODE,10,character,BeneficialUse
,,Eval_Ref_Number,,,,,EVAL_GUIDELINE_REFERENCES,15,character,Eval_Ref_Number
,,Evaluation_Guideline,,,,,EVAL_GUIDELINE,14,character,Evaluation_Guideline
,,Objective,,,,,NUMERIC_OBJECTIVE,,numeric,Objective
,,ObjectiveUnit,,,,,OBJECTIVE_UNITS,,character,ObjectiveUnit
,,Objective_Language,,,,,CRITERION/OBJECTIVE,12,character,Objective_Language
,,Objective_Ref_Number,,,,,CRITERION/OBJECTIVE_REFERENCES,13,character,Objective_Ref_Number
,,Statistic,,,,,STATISTICAL_METRIC,36,character,Statistic
,,,AssessParentProject,,,,,,character,AssessParentProject
,,,DATA_SOURCE,,,,DATA_SOURCE,26,character,DATA_SOURCE
,,,DATA_USED_REFERENCES,,,,DATA_USED_REFERENCES,24,character,DATA_USED_REFERENCES
,,,QA_INFO,,,,QA_INFO,20,character,QA_INFO
,,,QA_INFO_REFERENCES,,,,QA_INFO_REFERENCES,21,character,QA_INFO_REFERENCES
,,,,AcceptableSampleType,,,,,character,AcceptableSampleType
,,,,,PollutantName_in_CalWQA,,POLLUTANT,6,character,PollutantName_in_CalWQA
,,,,,,Issue,,,character,Issue
,,,,,,loe_id,MIGRATION_ID,2,character,loe_id
,,,,,,sample_id,,,character,sample_id
,,,,,,is_clean,,,character,is_clean
,,,,,,is_quant,,,character,is_quant
,,,,,,,AQ_USE_CODE,11,character,AQ_USE_CODE
,,,,,,,ASSESSMENT_STATUS,25,character,ASSESSMENT_STATUS
,,,,,,,ASSESSOR_COMMENT,32,character,ASSESSOR_COMMENT
,,,,,,,AUTHOR,27,character,AUTHOR
,,,,,,,DATA_TYPE,22,character,DATA_TYPE
,,,,,,,DATA_USED,23,character,DATA_USED
,,,,,,,DATE_CREATED,28,date,DATE_CREATED
,,,,,,,DATE_UPDATED,30,date,DATE_UPDATED
,,,,,,,ENVIRONMENTAL_CONDITIONS,31,character,ENVIRONMENTAL_CONDITIONS
,,,,,,,EXCEEDANCE_COUNT,17,numeric,EXCEEDANCE_COUNT
,,,,,,,MATRIX,8,character,MATRIX
,,,,,,,REGION,3,character,REGION
,,,,,,,SAMPLE_COUNT,16,numeric,SAMPLE_COUNT
,,,,,,,SPATIAL_REP,18,character,SPATIAL_REP
,,,,,,,SUB_GROUP,7,character,SUB_GROUP
,,,,,,,TEMPORAL_REP,19,character,TEMPORAL_REP
,,,,,,,UPDATED_BY,29,character,UPDATED_BY
